NPN,License number,Name,Org type,License type,Qualification,Issue date,Expiration date,City,State,Postal code,County (if title agency)
10004153,1478443,"JOHNSON FEED AND WESTERN WEAR, INC.",Corporation,Specialty Insurance Agency,Credit,2007-12-07T00:00:00.000,2027-12-07T00:00:00.000,ALPINE,TX,79830,
20000001,9000001,HOUSTON RESEARCH AGENCY LLC,Limited Liability Company,General Lines Agency,"Property and Casualty",2015-01-15T00:00:00.000,2028-01-15T00:00:00.000,HOUSTON,TX,77002,
20000001,9000001,HOUSTON RESEARCH AGENCY LLC,Limited Liability Company,General Lines Agency,Life Agent/Agency,2015-01-15T00:00:00.000,2028-01-15T00:00:00.000,HOUSTON,TX,77002,
20000002,9000002,DALLAS FAMILY INSURANCE CORP,Corporation,Life Agency,Life Agent/Agency,2016-06-01T00:00:00.000,2027-06-01T00:00:00.000,DALLAS,TX,75201,
20000003,9000003,FORT WORTH TITLE SERVICES INC,Corporation,Title Agency,Title,2018-03-01T00:00:00.000,2028-03-01T00:00:00.000,FORT WORTH,TX,76102,TARRANT
20000004,9000004,AUSTIN HEALTH BENEFITS LLC,Limited Liability Company,Health Maintenance Organization,Health,2019-09-09T00:00:00.000,2028-09-09T00:00:00.000,AUSTIN,TX,78701,
20000005,9000005,SAN ANTONIO AGENCY GROUP INC,Corporation,General Lines Agency,"Property and Casualty",2014-02-02T00:00:00.000,2027-02-02T00:00:00.000,SAN ANTONIO,TX,78205,
20000006,9000006,OUT OF MARKET CORP,Corporation,Life Agency,Life Agent/Agency,2017-01-01T00:00:00.000,2028-01-01T00:00:00.000,EL PASO,TX,79901,
30000001,8000001,OUT OF STATE AGENCY INC,Corporation,Life Agency,Life Agent/Agency,2010-01-01T00:00:00.000,2028-01-01T00:00:00.000,STATEN ISLAND,NY,10307,
30000002,8000002,HOUSTON CA BROKER INC,Corporation,General Lines Agency,"Property and Casualty",2012-01-01T00:00:00.000,2028-01-01T00:00:00.000,HOUSTON,CA,90744,
30000003,8000003,BLANK STATE AGENCY LLC,Limited Liability Company,Life Agency,Life Agent/Agency,2011-01-01T00:00:00.000,2028-01-01T00:00:00.000,DALLAS,,75201,
