AGENCYID,NAME,MAILADDRESS1,MAILADDRESS2,MAILADDRESS3,MAILCITY,MAILSTATE,MAILZIP,PHONE,EXP. DATE,License Type
15040918,1921 CONSULTANTS OF MISSISSIPPI LLC,139 LOUIS LEFLEUR BLVD,,,MADISON,MS,39110,601-624-3455,5/31/2027,Insurance Producer Entity
15010001,GULF COAST AGENCY LLC,100 HIGHWAY 90,,,GULFPORT,MS,39501,228-555-0100,5/31/2028,Insurance Producer Entity
15010002,HATTIESBURG INSURANCE AGENCY INC,10 HARDY ST,,,HATTIESBURG,MS,39401,601-555-0101,5/31/2028,Insurance Producer Entity
15010003,DESOTO BROKERS LLC,200 STATELINE RD,,,SOUTHAVEN,MS,38671,662-555-0102,5/31/2028,Insurance Producer Entity
15010004,TUPELO PRODUCERS INC,50 MAIN ST,,,TUPELO,MS,38801,662-555-0103,5/31/2028,Insurance Producer Entity
15010005,MERIDIAN AGENCY LLC,8 22ND AVE,,,MERIDIAN,MS,39301,601-555-0104,5/31/2028,Insurance Producer Entity
15010006,JANE SMITH,1 CAPITOL ST,,,JACKSON,MS,39201,601-555-0105,5/31/2028,Individual Producer
15010007,TEXAS HQ AGENCY LLC,1 CONGRESS AVE,,,AUSTIN,TX,78701,512-555-0106,5/31/2028,Insurance Producer Entity
15010008,OXFORD FIRM LLC,10 COURTHOUSE SQ,,,OXFORD,MS,38655,662-555-0107,5/31/2028,Insurance Producer Entity
15010009,EXPIRED COAST AGENCY LLC,2 BEACH BLVD,,,BILOXI,MS,39530,228-555-0108,5/31/2020,Insurance Producer Entity
15010010,INSURANCE &#39;N YOU LLC,800 CORPORATE DR,,,JACKSON,MS,39201,601-555-0109,5/31/2028,Insurance Producer Entity
